Jabłka polskie Mutsu słodkie twarde,"0,75 zł"
Jabłka zielone Granny,"1,28 zł"
Tesco Jabłka polskie Boskoop Szara Reneta do pieczenia,"0,39 zł"
Tesco Jabłka polskie Jonagold słodkie twarde,"0,54 zł"
Tesco Jabłka polskie Jonaprince słodkie twarde,"0,63 zł"
Tesco Jabłka polskie Szampion słodkie lekko twarde,"0,54 zł"
Tesco Polskie jabłka Elstar do pieczenia 2 kg,"4,49 zł"
Tesco Polskie jabłka Gala słodkie twarde 2 kg,"4,49 zł"
Tesco Polskie jabłka Gloster lekko kwaśne twarde,"0,50 zł"
Tesco Polskie jabłka Gloster lekko kwaśne twarde 2 kg,"3,79 zł"
Tesco Polskie jabłka Gloster lekko kwaśne twarde 4 sztuki,"2,49 zł"
Tesco Polskie jabłka Golden Delicious słodkie twarde 2 kg,"4,49 zł"
Tesco Polskie jabłka Golden Delicious słodkie twarde 4 sztuki,"2,99 zł"
Tesco Polskie jabłka Idared lekko kwaśne twarde,"0,60 zł"
Tesco Polskie jabłka Idared lekko kwaśne twarde 2 kg,"3,79 zł"
Tesco Polskie jabłka Idared lekko kwaśne twarde 4 sztuki,"2,49 zł"
Tesco Polskie jabłka Jonagold słodkie twarde 2 kg,"3,79 zł"
Tesco Polskie jabłka Jonagold słodkie twarde 4 sztuki,"2,49 zł"
Tesco Polskie jabłka Jonaprince słodkie twarde 2 kg,"4,49 zł"
Tesco Polskie jabłka Jonaprince słodkie twarde 4 sztuki,"2,79 zł"
Tesco Polskie jabłka Szampion słodkie lekko twarde 2 kg,"3,79 zł"
Tesco Polskie jabłka Szampion słodkie lekko twarde 800 g (4 sztuki),"2,49 zł"
Tesco Value Jabłka czerwone 1 kg,"1,69 zł"
Gruszka Abate,"1,81 zł"
GRUSZKI XENIA TESCO 4SZT,"4,49 zł"
Sun Grown Gruszki 1 kg,"3,79 zł"
Tesco Gruszka zielona Konferencja,"1,01 zł"
Tesco Gruszka Zielona Lukasówka,"0,70 zł"
Pomarańcze,"1,00 zł"
Tesco Pomarańcze 1 kg,"4,99 zł"
Tesco Pomarańcze na soki 2 kg,"7,99 zł"
Cytryna,"0,59 zł"
Tesco Cytryny 500 g,"3,49 zł"
Mandarynki,"0,25 zł"
Tesco Klementynki 1 kg,"5,99 zł"
"Tesco Klementynki 2,3 kg","12,99 zł"
Tesco Vita Kids Klementynki dla dzieci 600 g,"2,99 zł"
Grejpfrut czerwony,"2,25 zł"
POMELO RUBINOWE SZT,"4,99 zł"
Tesco Grejpfruty o czerwonym miąższu 1 kg,"4,99 zł"
Tesco Jaffa Sweetie Grejpfrut zielony,"1,70 zł"
Tesco Pomelo,"3,49 zł"
Banany,"0,57 zł"
Kiwi,"0,99 zł"
Sun Grown Kiwi 1 kg,"5,49 zł"
Ananas,"5,84 zł"
Granat,"2,99 zł"
Granat premium,"5,99 zł"
Kaki Sharon,"2,19 zł"
Kasztany jadalne,"1,20 zł"
Limonka,"0,58 zł"
Marakuja,"2,49 zł"
Pitaja smoczy owoc,"14,99 zł"
Tesco Avocado XL,"3,99 zł"
Tesco Awokado,"2,99 zł"
Tesco Finest Awokado hass,"4,99 zł"
Tesco Finest Mango,"8,99 zł"
Tesco Kokos,"2,49 zł"
Tesco Kumkwat 150 g,"10,99 zł"
Tesco Mango,"4,99 zł"
Tesco Papaja,"9,99 zł"
Winogrona białe,"1,70 zł"
Winogrona różowe,"1,00 zł"
Melon zielony,"10,83 zł"
Melon żółty,"4,79 zł"
Arbuz,"0,70 zł"
Tesco Pyszne borówki amerykańskie 125 g,"8,99 zł"
Tesco Słodkie truskawki 250 g,"3,99 zł"
Tesco Soczyste maliny 125 g,"7,99 zł"
Borowik szlachetny suszony krajanka 20 g,"6,99 zł"
PIECZARKA SWIEZA KROJONA 250G,"4,99 zł"
Pieczarki,"0,80 zł"
Podgrzybek brunatny suszony kapelusze 50 g,"13,99 zł"
Podgrzybek brunatny suszony krajanka 20 g,"6,99 zł"
Runopol Boczniak suszony krajanka 40 g,"6,99 zł"
Runopol Borowik szlachetny suszony 50 g,"29,99 zł"
Runopol Borowik szlachetny suszony krajanka 40 g,"11,99 zł"
Runopol Grzyby suszone leśne 40 g,"12,99 zł"
Runopol Koźlarz suszony krajanka 40 g,"9,99 zł"
Runopol Mun Uszak gęstowłosy suszony krajanka 40 g,"4,99 zł"
Runopol Pieczarka suszona krajanka 40 g,"5,99 zł"
Runopol Pieprznik jadalny kurka suszony krajanka 40 g,"12,99 zł"
Runopol Podgrzybek brunatny suszony krajanka 40 g,"11,99 zł"
Runopol Shii-take twardziak suszony krajanka 40 g,"6,99 zł"
Tesco Pieczarki portobello 250 g,"4,99 zł"
Tesco Polski boczniak 250 g,"4,89 zł"
Tesco Polskie pieczarki brązowe 250 g,"3,99 zł"
Tesco Polskie pieczarki świeże i aromatyczne 250 g,"2,99 zł"
Tesco Polskie pieczarki świeże i aromatyczne 450 g,"3,99 zł"
Balviten Chleb królewski Supreme 250 g,"6,99 zł"
Balviten Chleb słonecznikowy 300 g,"5,69 zł"
Balviten Chleb swojski 300 g,"5,59 zł"
Balviten Chleb wiejski jasny Premium 250 g,"7,99 zł"
Chleb 8 ziaren 300 g,"2,19 zł"
Chleb fitness 300 g,"3,79 zł"
Chleb pszenno-żytni 360 g,"1,20 zł"
Chleb pszenno-żytni 500 g,"1,49 zł"
Chleb słowiański 340 g,"2,99 zł"
Chleb swojski 500 g,"4,39 zł"
Oskroba Bułka wyborowa 350 g,"2,59 zł"
Oskroba Chleb Dawny 500 g,"3,19 zł"
Oskroba Chleb wiejski 500 g,"3,99 zł"
Oskroba Złocisty Chleb pszenno-żytni z ziarnami 400 g,"2,99 zł"
Schulstad Chleb z Pieca 600 g,"4,19 zł"
Schulstad Chleb z Pieca z ziarnami 660 g,"4,19 zł"
Tesco Bułka wyborowa 300 g,"1,99 zł"
Tesco Chleb kanapkowy 500 g,"2,89 zł"
Tesco Chleb swojski żytnio-pszenny krojony 500 g,"2,69 zł"
Balviten Chleb wiejski ciemny Premium 250 g,"7,99 zł"
Bochen rodzinny Chleb 600 g,"3,49 zł"
Chleb drwalski fitness 645 g,"4,79 zł"
Chleb graham 300 g,"2,59 zł"
Chleb razowy 450 g,"3,49 zł"
Chleb wiejski kwadrat 630 g,"4,59 zł"
Chleb wieloziarnisty 385 g,"2,49 zł"
Chleb z orkiszem 400 g,"3,09 zł"
Chleb z pestkami dyni 450 g,"4,49 zł"
Chleb ze słonecznikiem 500 g,"2,99 zł"
Mestemacher pełnoziarnisty! Chleb Razowy 500 g,"5,29 zł"
Mestemacher Pumpernikiel 250 g,"4,19 zł"
Oskroba Chleb alpejski 500 g,"2,69 zł"
Oskroba Chleb graham 330 g,"2,89 zł"
Oskroba Chleb Litewski 500 g,"4,19 zł"
Oskroba Chleb sitkowy 550 g,"3,19 zł"
Oskroba Chleb sojowy pełnoziarnisty 450 g,"3,59 zł"
Oskroba Chleb żytni pełnoziarnisty 450 g,"3,49 zł"
Oskroba Wiejski Chleb pszenno-żytni 500 g,"2,59 zł"
Schulstad Chleb ze słonecznikiem 430 g,"3,49 zł"
Schulstad Fitness Style ze słonecznikiem Chleb żytni 390 g,"3,99 zł"
Tesco Chleb musli 300 g,"3,99 zł"
Tesco Chleb na miodzie ze śliwką 250 g,"3,79 zł"
Tesco Chleb pumpernikiel 250 g,"2,99 zł"
Tesco Chleb razowy 300 g,"2,79 zł"
Tesco Chleb razowy 400 g,"1,99 zł"
Tesco Chleb razowy pełnoziarnisty 500 g,"2,99 zł"
Tesco Chleb razowy ze słonecznikiem 450 g,"3,29 zł"
Tesco Chleb razowy ze słonecznikiem 450 g,"2,99 zł"
Tesco Chleb wielozbożowy pełnoziarnisty 500 g,"4,39 zł"
Tesco Chleb wieloziarnisty 400 g,"2,79 zł"
Tesco Chleb żytni owsiany 400 g,"3,59 zł"
Tesco Chleb żytni pełnoziarnisty 500 g,"3,49 zł"
Chleb chłopski,"7,10 zł"
Chleb domowy krojony,"0,72 zł"
Chleb królewski,"8,87 zł"
Chleb królewski krojony,"0,80 zł"
Chleb tradycyjny na wagę,"0,30 zł"
Chleb z orkiszem krojony,"0,90 zł"
Chleb złocisty krojony,"0,80 zł"
Chleb żytni,"0,70 zł"
Oskroba Chleb wiejski,"0,72 zł"
Bagietka 250 g,"1,29 zł"
Bagietka fitness 300 g,"3,69 zł"
Bagietka prowansalska 100 g,"1,39 zł"
Bagietka wiejska 360 g,"4,89 zł"
Bagietka z makiem mini 120 g,"0,89 zł"
Bagietka z masłem czosnkowym 165 g,"2,39 zł"
Bagietka z sezamem mini 120 g,"0,89 zł"
